goodrx_default_quantity,goodrx_dosage,goodrx_drug_id,goodrx_form_name,goodrx_slug,mapping_source,description,dosage_form,strength,billing_unit,gcn,gcn_seqno,medid,with_modified_retail_package
1,70g-of-0.75%25-gel,36056,package,metrogel-vaginal,gcn_expansion,Metrogel Vaginal 0.75 %,gel,0.75,grams,49261,16939,222741,f
90,15mg,5208,capsule,oxazepam,manual,oxazepam 15 mg capsule,capsule,15,each,14231,3770,222771,f
90,15mg,5208,capsule,serax,manual,oxazepam 15 mg capsule,capsule,15,each,14231,3770,222771,f
30,0.2mg,5163,patch,nitro-dur,gcn_expansion,Nitrek 0.2 mg/hr transdermal 24 hour patch,patch 24 hour,0.2,each,1742,468,222801,f
30,250mg,1130,tablet,metronidazole,gcn_expansion,Flagyl 250 mg tablet,tablet,250,each,43031,9591,222848,f
30,250mg,1130,tablet,metronidazole,gcn_expansion,Flagyl 250 mg tablet,tablet,250,each,43031,9591,222848,f
30,250mg,1130,tablet,flagyl,gcn_expansion,Flagyl 250 mg tablet,tablet,250,each,43031,9591,222848,f
60,20mg,34084,capsule,geodon,manual,ziprasidone 20 mg capsule,capsule,20,each,13331,47563,222887,f
90,10mg-6.25mg,12457,tablet,bisoprolol-hctz,gcn_expansion,Ziac 10 mg-6.25 mg tablet,tablet,10-6.25,each,45063,21141,223083,f
90,10mg-6.25mg,12457,tablet,ziac,gcn_expansion,Ziac 10 mg-6.25 mg tablet,tablet,10-6.25,each,45063,21141,223083,f
60,250mg,4592,tablet,famvir,manual,famciclovir 250 mg tablet,tablet,250,each,14109,21876,223107,f
60,250mg,4592,tablet,famciclovir,manual,famciclovir 250 mg tablet,tablet,250,each,14109,21876,223107,f
30,25mg,682,tablet,chlorthalidone,gcn_expansion,Thalitone 25 mg tablet,tablet,25,each,34982,8213,223172,f
30,25mg,682,tablet,chlorthalidone,gcn_expansion,Thalitone 25 mg tablet,tablet,25,each,34982,8213,223172,f
30,25mg,682,tablet,hygroton,gcn_expansion,Thalitone 25 mg tablet,tablet,25,each,34982,8213,223172,f
90,8mg,169,tablet,cardura,manual,doxazosin 8 mg tablet,tablet,8,each,33434,15587,223191,f
90,8mg,169,tablet,doxazosin,manual,doxazosin 8 mg tablet,tablet,8,each,33434,15587,223191,f
90,8mg,169,tablet,cardura,manual,doxazosin 8 mg tablet,tablet,8,each,33434,15587,223191,f
90,3mg,8644,tablet,glynase,gcn_expansion,Glynase 3 mg tablet,tablet,3,each,5714,16666,223222,f
90,120mg,165,tablet,cardizem,manual,diltiazem 120 mg tablet,tablet,120,each,2363,573,223252,f
90,120mg,165,tablet,cardizem,manual,diltiazem 120 mg tablet,tablet,120,each,2363,573,223252,f
90,120mg,165,tablet,diltiazem,manual,diltiazem 120 mg tablet,tablet,120,each,2363,573,223252,f
30,20meq,28899,tablet,k-tab,manual,"potassium chloride ER 20 mEq tablet,extended release(part/cryst)","tablet,ER particles/crystals",20,each,3513,22346,223280,f
30,20meq,28899,tablet,potassium-chloride-er,manual,"potassium chloride ER 20 mEq tablet,extended release(part/cryst)","tablet,ER particles/crystals",20,each,3513,22346,223280,f
30,20meq,28899,tablet,klor-con,manual,"potassium chloride ER 20 mEq tablet,extended release(part/cryst)","tablet,ER particles/crystals",20,each,3513,22346,223280,f
30,20meq,28899,tablet,klor-con-m,manual,"potassium chloride ER 20 mEq tablet,extended release(part/cryst)","tablet,ER particles/crystals",20,each,3513,22346,223280,f
90,20mg,193,tablet,lisinopril,gcn_expansion,THSC Lisinopril 20 mg tablet,tablet,20,each,47262,391,223308,f
90,20mg,193,tablet,prinivil,gcn_expansion,THSC Lisinopril 20 mg tablet,tablet,20,each,47262,391,223308,f
90,20mg,193,tablet,zestril,gcn_expansion,THSC Lisinopril 20 mg tablet,tablet,20,each,47262,391,223308,f
90,20mg,193,tablet,lisinopril,gcn_expansion,THSC Lisinopril 20 mg tablet,tablet,20,each,47262,391,223308,f
1,5ml-of-200mg-ml,32737,vial,delatestryl,gcn_expansion,Depo-Testosterone 200 mg/mL intramuscular oil,oil,200,milliliters,10194,3148,223375,f
1,5ml-of-200mg-ml,32737,vial,delatestryl,gcn_expansion,Depo-Testosterone 200 mg/mL intramuscular oil,oil,200,milliliters,10194,3148,223375,f
60,0.5mg,796,tablet,cogentin,manual,Cogentin 0.5 mg tablet,tablet,0.5,each,17620,4589,223381,f
60,0.5mg,796,tablet,cogentin,manual,Cogentin 0.5 mg tablet,tablet,0.5,each,17620,4589,223381,f
60,0.5mg,796,tablet,benztropine-mesylate,manual,Cogentin 0.5 mg tablet,tablet,0.5,each,17620,4589,223381,f
90,240mg,39350,capsule,diltiazem-er-cardizem-cd,manual,"Cardizem CD 240 mg capsule,extended release","capsule,extended release 24hr",240,each,2324,16571,223454,f
90,240mg,39350,capsule,cardizem-cd,manual,"Cardizem CD 240 mg capsule,extended release","capsule,extended release 24hr",240,each,2324,16571,223454,f
90,240mg,39350,capsule,diltiazem-er-cardizem-cd,manual,"Cardizem CD 240 mg capsule,extended release","capsule,extended release 24hr",240,each,2324,16571,223454,f
90,240mg,39350,capsule,cartia-xt,manual,"Cardizem CD 240 mg capsule,extended release","capsule,extended release 24hr",240,each,2324,16571,223454,f
90,240mg,39350,capsule,dilt-cd,manual,"Cardizem CD 240 mg capsule,extended release","capsule,extended release 24hr",240,each,2324,16571,223454,f
90,240mg,39350,capsule,cardizem-cd,manual,"Cardizem CD 240 mg capsule,extended release","capsule,extended release 24hr",240,each,2324,16571,223454,f
6,5ml-of-2%25,34821,tube-of-jelly,lidocaine,gcn_expansion,Xylocaine Jelly 2 % mucosal,jelly,2,milliliters,11870,3407,223468,f
6,5ml-of-2%25,34821,tube-of-jelly,xylocaine,gcn_expansion,Xylocaine Jelly 2 % mucosal,jelly,2,milliliters,11870,3407,223468,f
50,maximum-strength,37965,tablet,famotidine-ac,manual,famotidine 20 mg tablet,tablet,20,each,46430,11677,223516,f
30,maximum-strength,37965,tablet,pepcid-ac,manual,famotidine 20 mg tablet,tablet,20,each,46430,11677,223516,f
90,200mcg,28418,tablet,levothyroxine,gcn_expansion,Levothroid 200 mcg tablet,tablet,200,each,26325,6656,223560,f
90,200mcg,28418,tablet,euthyrox,gcn_expansion,Levothroid 200 mcg tablet,tablet,200,each,26325,6656,223560,f
90,200mcg,28418,tablet,synthroid,gcn_expansion,Levothroid 200 mcg tablet,tablet,200,each,26325,6656,223560,f
90,35mg,30131,tablet,bontril-pdm,gcn_expansion,Phen 35 mg tablet,tablet,35,each,20852,5170,223580,f
4,0.025mg-day,44035,patch,estradiol,manual,estradiol 0.025 mg/24 hr weekly transdermal patch,patch weekly,0.025,each,28848,32174,223652,f
90,80mg,30149,tablet,pravachol,manual,pravastatin 80 mg tablet,tablet,80,each,15412,49758,223663,f
90,80mg,30149,tablet,pravachol,manual,pravastatin 80 mg tablet,tablet,80,each,15412,49758,223663,f
90,300mg,5326,tablet,propafenone,gcn_expansion,Rythmol 300 mg tablet,tablet,300,each,12432,13647,223684,f
90,300mg,5326,tablet,rythmol,gcn_expansion,Rythmol 300 mg tablet,tablet,300,each,12432,13647,223684,f
30,5mg,6673,tablet,roxicodone,manual,Percolone 5 mg tablet,tablet,5,each,16290,4225,223693,f
30,5mg,6673,tablet,oxycodone,manual,Percolone 5 mg tablet,tablet,5,each,16290,4225,223693,f
25,5ml-of-0.9%25,36396,vial,sodium-chloride,manual,sodium chloride 0.9 % injection solution,solution,,milliliters,3034,1221,223779,f
90,120mg,165,tablet,cardizem,manual,Cardizem 120 mg tablet,tablet,120,each,2363,573,223832,f
90,120mg,165,tablet,cardizem,manual,Cardizem 120 mg tablet,tablet,120,each,2363,573,223832,f
90,120mg,165,tablet,diltiazem,manual,Cardizem 120 mg tablet,tablet,120,each,2363,573,223832,f
60,2mg,36425,tablet,detrol,manual,tolterodine 2 mg tablet,tablet,2,each,37062,39139,223837,f
1,10ml-of-100mg,33902,vial,leucovorin,manual,leucovorin calcium 100 mg solution for injection,recon soln,100,each,87552,44533,223871,f
1,10ml-of-100mg,33902,vial,wellcovorin,manual,leucovorin calcium 100 mg solution for injection,recon soln,100,each,87552,44533,223871,f
30,25mg,229,tablet,amitid,manual,amitriptyline 25 mg tablet,tablet,25,each,16515,46046,223886,f
30,25mg,229,tablet,amitril,manual,amitriptyline 25 mg tablet,tablet,25,each,16515,46046,223886,f
30,25mg,229,tablet,endep,manual,amitriptyline 25 mg tablet,tablet,25,each,16515,46046,223886,f
30,25mg,229,tablet,elavil,manual,amitriptyline 25 mg tablet,tablet,25,each,16515,46046,223886,f
30,25mg,229,tablet,amitid,manual,amitriptyline 25 mg tablet,tablet,25,each,16515,46046,223886,f
30,25mg,229,tablet,amitril,manual,amitriptyline 25 mg tablet,tablet,25,each,16515,46046,223886,f
30,25mg,229,tablet,endep,manual,amitriptyline 25 mg tablet,tablet,25,each,16515,46046,223886,f
30,25mg,229,tablet,elavil,manual,amitriptyline 25 mg tablet,tablet,25,each,16515,46046,223886,f
90,250mg,5313,tablet,primidone,manual,primidone 250 mg tablet,tablet,250,each,17321,4543,223951,f
90,250mg,5313,tablet,mysoline,manual,primidone 250 mg tablet,tablet,250,each,17321,4543,223951,f
1,5ml-of-1%25,35591,eye-dropper,omnipred,manual,"prednisolone acetate 1 % eye drops,suspension","drops,suspension",1,milliliters,33153,7894,224010,f
1,5ml-of-1%25,35591,eye-dropper,prednisolone-acetate,manual,"prednisolone acetate 1 % eye drops,suspension","drops,suspension",1,milliliters,33153,7894,224010,f
60,50mg,8623,tablet,tambocor,manual,Tambocor 50 mg tablet,tablet,50,each,1581,265,224083,f
60,50mg,8623,tablet,flecainide,manual,Tambocor 50 mg tablet,tablet,50,each,1581,265,224083,f
20,875mg,12523,tablet,amoxil,manual,Amoxil 875 mg tablet,tablet,875,each,39632,40292,224128,f
20,875mg,12523,tablet,amoxicillin,manual,Amoxil 875 mg tablet,tablet,875,each,39632,40292,224128,f
20,100mg,45,tablet,morgidox,gcn_expansion,Vibra-Tabs 100 mg tablet,tablet,100,each,40360,9223,224145,f
20,100mg,45,tablet,morgidox,gcn_expansion,Vibra-Tabs 100 mg tablet,tablet,100,each,40360,9223,224145,f
20,100mg,45,tablet,vibra-tabs,gcn_expansion,Vibra-Tabs 100 mg tablet,tablet,100,each,40360,9223,224145,f
30,600mcg,33798,lozenge,actiq,manual,fentanyl 600 mcg lozenge on a handle,lozenge on a handle,600,each,19191,41339,224210,f
60,5mg,30160,tablet,protriptyline,manual,protriptyline 5 mg tablet,tablet,5,each,16556,46080,224211,f
60,5mg,30160,tablet,vivactil,manual,protriptyline 5 mg tablet,tablet,5,each,16556,46080,224211,f
8,10mg,40832,suppository,morphine,manual,morphine 10 mg rectal suppository,suppository,10,each,16051,4083,224233,f
90,300mg,39351,capsule,diltiazem-er-cardizem-cd,manual,"Cardizem CD 300 mg capsule,extended release","capsule,extended release 24hr",300,each,2325,16572,224261,f
90,300mg,39351,capsule,cardizem-cd,manual,"Cardizem CD 300 mg capsule,extended release","capsule,extended release 24hr",300,each,2325,16572,224261,f
90,300mg,39351,capsule,diltiazem-er-cardizem-cd,manual,"Cardizem CD 300 mg capsule,extended release","capsule,extended release 24hr",300,each,2325,16572,224261,f
90,300mg,39351,capsule,cartia-xt,manual,"Cardizem CD 300 mg capsule,extended release","capsule,extended release 24hr",300,each,2325,16572,224261,f
90,300mg,39351,capsule,dilt-cd,manual,"Cardizem CD 300 mg capsule,extended release","capsule,extended release 24hr",300,each,2325,16572,224261,f
90,300mg,39351,capsule,cardizem-cd,manual,"Cardizem CD 300 mg capsule,extended release","capsule,extended release 24hr",300,each,2325,16572,224261,f
1,340.2g-of-6%25,36019,bottle-of-cleanser,benzoyl-peroxide,manual,benzoyl peroxide 6 % topical cleanser,cleanser,6,grams,95833,36423,224271,f
8,0.2mg-per-day,7405,patch,catapres-tts,gcn_expansion,Catapres-TTS-2  0.2 mg/24 hr transdermal patch,patch weekly,0.2,each,23871,344,224288,t
8,0.2mg-per-day,7405,patch,clonidine,gcn_expansion,Catapres-TTS-2  0.2 mg/24 hr transdermal patch,patch weekly,0.2,each,23871,344,224288,t
8,0.2mg-per-day,7405,patch,catapres-tts,gcn_expansion,Catapres-TTS-2  0.2 mg/24 hr transdermal patch,patch weekly,0.2,each,23871,344,224288,t
30,250mg,30030,capsule,ponstel,manual,mefenamic acid 250 mg capsule,capsule,250,each,16530,4285,224295,f
90,300mg,5326,tablet,propafenone,manual,propafenone 300 mg tablet,tablet,300,each,12432,13647,224332,f
90,300mg,5326,tablet,rythmol,manual,propafenone 300 mg tablet,tablet,300,each,12432,13647,224332,f
90,88mcg,28423,tablet,levothyroxine,gcn_expansion,L-Thyroxine Sodium 88 mcg tablet,tablet,88,each,47631,15523,224397,f
90,88mcg,28423,tablet,euthyrox,gcn_expansion,L-Thyroxine Sodium 88 mcg tablet,tablet,88,each,47631,15523,224397,f
90,88mcg,28423,tablet,synthroid,gcn_expansion,L-Thyroxine Sodium 88 mcg tablet,tablet,88,each,47631,15523,224397,f
14,500mg,29849,tablet,cefaclor-er,manual,"cefaclor ER 500 mg tablet,extended release,12 hr",tablet extended release 12 hr,500,each,12171,21870,224542,f
30,10mg,8133,capsule,prilosec,manual,"omeprazole 10 mg capsule,delayed release","capsule,delayed release(DR/EC)",10,each,92989,43136,224550,f
30,10mg,8133,capsule,omeprazole,manual,"omeprazole 10 mg capsule,delayed release","capsule,delayed release(DR/EC)",10,each,92989,43136,224550,f
30,200mg,34115,tablet,modafinil,manual,modafinil 200 mg tablet,tablet,200,each,26102,41478,224555,f
30,200mg,34115,tablet,provigil,manual,modafinil 200 mg tablet,tablet,200,each,26102,41478,224555,f
60,25mg,157,tablet,coreg,manual,Coreg 25 mg tablet,tablet,25,each,1551,19293,224622,f
60,25mg,157,tablet,coreg,manual,Coreg 25 mg tablet,tablet,25,each,1551,19293,224622,f
60,25mg,157,tablet,carvedilol,manual,Coreg 25 mg tablet,tablet,25,each,1551,19293,224622,f
1,50ml-of-4mg-5ml,8124,bottle-of-oral-solution,zofran,manual,ondansetron HCl 4 mg/5 mL oral solution,solution,4,milliliters,20040,28107,224772,t
1,50ml-of-4mg-5ml,8124,bottle-of-oral-solution,ondansetron,manual,ondansetron HCl 4 mg/5 mL oral solution,solution,4,milliliters,20040,28107,224772,t
30,0.4mg,5164,patch,nitro-dur,gcn_expansion,Minitran 0.4 mg/hr transdermal 24 hour patch,patch 24 hour,0.4,each,1740,465,224874,f
30,0.4mg,5164,patch,minitran,gcn_expansion,Minitran 0.4 mg/hr transdermal 24 hour patch,patch 24 hour,0.4,each,1740,465,224874,f
30,0.5mg,4975,tablet,ativan,manual,lorazepam 0.5 mg tablet,tablet,0.5,each,14160,3757,224877,f
30,0.5mg,4975,tablet,lorazepam,manual,lorazepam 0.5 mg tablet,tablet,0.5,each,14160,3757,224877,f
20,500mg,27689,tablet,biaxin-xl,manual,"clarithromycin ER 500 mg tablet,extended release 24 hr",tablet extended release 24 hr,500,each,48850,30495,224912,f
90,5mg,777,tablet,metozolv,manual,metoclopramide 5 mg tablet,tablet,5,each,21021,5232,224927,f
90,5mg,777,tablet,metoclopramide,manual,metoclopramide 5 mg tablet,tablet,5,each,21021,5232,224927,f
90,5mg,777,tablet,metozolv,manual,metoclopramide 5 mg tablet,tablet,5,each,21021,5232,224927,f
90,5mg,777,tablet,reglan,manual,metoclopramide 5 mg tablet,tablet,5,each,21021,5232,224927,f
90,750mg,5048,tablet,robaxin,manual,methocarbamol 750 mg tablet,tablet,750,each,17893,4655,224947,f
90,750mg,5048,tablet,robaxin,manual,methocarbamol 750 mg tablet,tablet,750,each,17893,4655,224947,f
30,50mg,27935,tablet,doxycycline-monohydrate,manual,doxycycline monohydrate 50 mg tablet,tablet,50,each,7184,36747,224956,f
30,50mg,27935,tablet,doxycycline-monohydrate,manual,doxycycline monohydrate 50 mg tablet,tablet,50,each,7184,36747,224956,f
60,300mg,6890,capsule,lodine,gcn_expansion,Lodine 300 mg capsule,capsule,300,each,33871,15961,225020,f
90,50mg,183,tablet,esidrix,manual,Zide-50 50 mg tablet,tablet,50,each,34825,8183,225031,f
90,50mg,183,tablet,microzide,manual,Zide-50 50 mg tablet,tablet,50,each,34825,8183,225031,f
90,50mg,183,tablet,hydrochlorothiazide,manual,Zide-50 50 mg tablet,tablet,50,each,34825,8183,225031,f
90,50mg,183,tablet,esidrix,manual,Zide-50 50 mg tablet,tablet,50,each,34825,8183,225031,f
90,50mg,183,tablet,oretic,manual,Zide-50 50 mg tablet,tablet,50,each,34825,8183,225031,f
90,50mg,183,tablet,microzide,manual,Zide-50 50 mg tablet,tablet,50,each,34825,8183,225031,f
90,1mg,864,tablet,estrace,manual,estradiol 1 mg tablet,tablet,1,each,10770,3204,225034,f
90,1mg,864,tablet,estradiol,manual,estradiol 1 mg tablet,tablet,1,each,10770,3204,225034,f
90,120mg,39348,capsule,diltiazem-er-cardizem-cd,manual,"diltiazem ER 120 mg/24hr capsule,extended release","capsule, extended release",120,each,2326,21282,225042,f
90,120mg,39348,capsule,cardizem-cd,manual,"diltiazem ER 120 mg/24hr capsule,extended release","capsule, extended release",120,each,2326,21282,225042,f
90,120mg,39348,capsule,diltiazem-er-cardizem-cd,manual,"diltiazem ER 120 mg/24hr capsule,extended release","capsule, extended release",120,each,2326,21282,225042,f
90,120mg,39348,capsule,cartia-xt,manual,"diltiazem ER 120 mg/24hr capsule,extended release","capsule, extended release",120,each,2326,21282,225042,f
90,120mg,39348,capsule,dilt-cd,manual,"diltiazem ER 120 mg/24hr capsule,extended release","capsule, extended release",120,each,2326,21282,225042,f
90,120mg,39348,capsule,cardizem-cd,manual,"diltiazem ER 120 mg/24hr capsule,extended release","capsule, extended release",120,each,2326,21282,225042,f
90,10mg,80,tablet,pravachol,manual,pravastatin 10 mg tablet,tablet,10,each,48671,16366,225051,f
90,10mg,80,tablet,pravachol,manual,pravastatin 10 mg tablet,tablet,10,each,48671,16366,225051,f
12,120mg,37915,suppository,acetaminophen,manual,acetaminophen 120 mg rectal suppository,suppository,120,each,16903,4475,225171,f
12,120mg,37915,suppository,acetaminophen,manual,acetaminophen 120 mg rectal suppository,suppository,120,each,16903,4475,225171,f
12,120mg,37915,suppository,acephen,manual,acetaminophen 120 mg rectal suppository,suppository,120,each,16903,4475,225171,f
12,30mg,41020,tablet,actonel,manual,risedronate 30 mg tablet,tablet,30,each,60511,40294,225190,f
1,45g-of-0.1%25,34757,tube-of-ointment,hydrocortisone-butyrate,manual,hydrocortisone butyrate 0.1 % topical ointment,ointment,0.1,grams,30885,7531,225263,f
1,45g-of-0.1%25,34757,tube-of-ointment,locoid,manual,hydrocortisone butyrate 0.1 % topical ointment,ointment,0.1,grams,30885,7531,225263,f
1,45g-of-0.1%25,34757,tube-of-ointment,hydrocortisone-butyrate,manual,hydrocortisone butyrate 0.1 % topical ointment,ointment,0.1,grams,30885,7531,225263,f
1,5ml-of-0.5%25,35378,eye-dropper,levofloxacin,manual,levofloxacin 0.5 % eye drops,drops,0.5,milliliters,89452,46793,225309,t
1,5ml-of-0.5%25,35378,eye-dropper,levaquin,manual,levofloxacin 0.5 % eye drops,drops,0.5,milliliters,89452,46793,225309,t
90,25mg,12726,tablet,duvoid,gcn_expansion,Myotonachol 25 mg tablet,tablet,25,each,18352,4741,225358,f
30,15mg,5507,capsule,restoril,manual,temazepam 15 mg capsule,capsule,15,each,13840,3689,225558,f
1,60g-of-1%25,34519,tube-of-gel,clindamycin,manual,clindamycin 1 % topical gel,gel,1,grams,45410,7726,225626,t
1,60g-of-1%25,34519,tube-of-gel,cleocin-t,manual,clindamycin 1 % topical gel,gel,1,grams,45410,7726,225626,t
1,60g-of-1%25,34519,tube-of-gel,cleocin,manual,clindamycin 1 % topical gel,gel,1,grams,45410,7726,225626,t
60,300mg,253,capsule,eskalith,manual,Lithonate 300 mg capsule,capsule,300,each,15710,4001,225685,f
60,300mg,253,capsule,eskalith,manual,Lithonate 300 mg capsule,capsule,300,each,15710,4001,225685,f
60,300mg,253,capsule,lithium,manual,Lithonate 300 mg capsule,capsule,300,each,15710,4001,225685,f
6,4mg,33994,vial,topotecan,manual,topotecan 4 mg intravenous solution,recon soln,4,each,22661,26807,225691,f
6,4mg,33994,vial,hycamtin,manual,topotecan 4 mg intravenous solution,recon soln,4,each,22661,26807,225691,f
1,5g-of-0.1%25,35747,tube-of-paste,kenalog,manual,triamcinolone acetonide 0.1 % dental paste,paste,0.1,grams,31870,2599,225760,f
1,5g-of-0.1%25,35747,tube-of-paste,triamcinolone,manual,triamcinolone acetonide 0.1 % dental paste,paste,0.1,grams,31870,2599,225760,f
30,100mg,5550,tablet,demadex,manual,torsemide 100 mg tablet,tablet,100,each,21133,21409,225788,f
30,100mg,5550,tablet,demadex,manual,torsemide 100 mg tablet,tablet,100,each,21133,21409,225788,f
10,100mg-ml,36996,syringe,lovenox,gcn_expansion,Lovenox 100 mg/mL subcutaneous syringe,syringe,100,milliliters,62773,27995,225953,f
10,100mg-ml,36996,syringe,enoxaparin,gcn_expansion,Lovenox 100 mg/mL subcutaneous syringe,syringe,100,milliliters,62773,27995,225953,f
10,100mg-ml,36996,syringe,lovenox,gcn_expansion,Lovenox 100 mg/mL subcutaneous syringe,syringe,100,milliliters,62773,27995,225953,f
90,10mg-100mg,7098,tablet,sinemet,gcn_expansion,Sinemet 10 mg-100 mg tablet,tablet,10-100,each,62740,2537,225961,f
1,50ml-of-50mg-5ml,36613,bottle-of-oral-suspension,vantin,manual,cefpodoxime 50 mg/5 mL oral suspension,suspension for reconstitution,50,milliliters,49301,16929,226058,f
1,50ml-of-50mg-5ml,36613,bottle-of-oral-suspension,banan,manual,cefpodoxime 50 mg/5 mL oral suspension,suspension for reconstitution,50,milliliters,49301,16929,226058,f
1,50ml-of-50mg-5ml,36613,bottle-of-oral-suspension,vantin,manual,cefpodoxime 50 mg/5 mL oral suspension,suspension for reconstitution,50,milliliters,49301,16929,226058,f
1,50ml-of-50mg-5ml,36613,bottle-of-oral-suspension,cefpodoxime,manual,cefpodoxime 50 mg/5 mL oral suspension,suspension for reconstitution,50,milliliters,49301,16929,226058,f
30,25mg,209,tablet,aldactone,gcn_expansion,Aldactone 25 mg tablet,tablet,25,each,27691,6817,226152,f
30,25mg,209,tablet,spironolactone,gcn_expansion,Aldactone 25 mg tablet,tablet,25,each,27691,6817,226152,f
30,25mg,209,tablet,aldactone,gcn_expansion,Aldactone 25 mg tablet,tablet,25,each,27691,6817,226152,f
30,8meq,7228,tablet,k-tab,manual,"potassium chloride ER 8 mEq tablet,extended release",tablet extended release,8,each,3514,1278,226181,f
30,8meq,7228,tablet,potassium-chloride-er,manual,"potassium chloride ER 8 mEq tablet,extended release",tablet extended release,8,each,3514,1278,226181,f
30,8meq,7228,tablet,klor-con,manual,"potassium chloride ER 8 mEq tablet,extended release",tablet extended release,8,each,3514,1278,226181,f
30,8meq,7228,tablet,klor-con-m,manual,"potassium chloride ER 8 mEq tablet,extended release",tablet extended release,8,each,3514,1278,226181,f
30,500mg,41109,tablet,calcium-carbonate,manual,"calcium carbonate 500 mg calcium (1,250 mg) tablet",tablet,500 mg calcium,each,3721,1340,226209,f
30,25mg,7326,capsule,loxapine,manual,Loxitane 25 mg capsule,capsule,25,each,15561,3982,226252,f
30,25mg,7326,capsule,loxitane,manual,Loxitane 25 mg capsule,capsule,25,each,15561,3982,226252,f
120,500000-units,7972,tablet,nystatin,manual,"Mycostatin 500,000 unit tablet",tablet,"500,000",each,42452,9538,226321,f
120,500000-units,7972,tablet,mycostatin,manual,"Mycostatin 500,000 unit tablet",tablet,"500,000",each,42452,9538,226321,f
30,2mg,4425,tablet,diazepam,gcn_expansion,Valium 2 mg tablet,tablet,2,each,14221,3767,226373,f
30,2mg,4425,tablet,valium,gcn_expansion,Valium 2 mg tablet,tablet,2,each,14221,3767,226373,f
100,20mg-5ml,32115,oral-solution,morphine,manual,morphine 20 mg/5 mL (4 mg/mL) oral solution,solution,20 mg/5 mL,milliliters,16062,4089,226400,f
60,9mg,40584,capsule,nitroglycerin-er,manual,"nitroglycerin ER 9 mg capsule,extended release","capsule, extended release",9,each,1684,457,226502,f
60,9mg,40584,capsule,nitro-time,manual,"nitroglycerin ER 9 mg capsule,extended release","capsule, extended release",9,each,1684,457,226502,f
60,1mg,41701,tablet,lotronex,manual,alosetron 1 mg tablet,tablet,1,each,41607,44634,226554,f
60,1mg,41701,tablet,alosetron,manual,alosetron 1 mg tablet,tablet,1,each,41607,44634,226554,f
30,500mg,7911,capsule,amoxil,gcn_expansion,Amoxil 500 mg capsule,capsule,500,each,39661,8996,226587,f
30,500mg,7911,capsule,amoxicillin,gcn_expansion,Amoxil 500 mg capsule,capsule,500,each,39661,8996,226587,f
60,50mg,5622,tablet,venlafaxine,manual,Effexor 50 mg tablet,tablet,50,each,16813,46400,226589,f
60,50mg,5622,tablet,effexor,manual,Effexor 50 mg tablet,tablet,50,each,16813,46400,226589,f
60,40mg,34085,capsule,geodon,gcn_expansion,Geodon 40 mg capsule,capsule,40,each,13332,47564,226680,f
60,600mg,5212,tablet,trileptal,manual,Trileptal 600 mg tablet,tablet,600,each,21722,27780,226726,f
2,5-patches-of-100mcg-hr,37232,carton,duragesic,manual,fentanyl 100 mcg/hr transdermal patch,patch 72 hour,100,each,19203,15883,226805,t
12,12.5mg,30154,suppository,phenergan,manual,promethazine 12.5 mg rectal suppository,suppository,12.5,each,15003,3872,226815,f
12,12.5mg,30154,suppository,promethazine,manual,promethazine 12.5 mg rectal suppository,suppository,12.5,each,15003,3872,226815,f
12,12.5mg,30154,suppository,phenadoz,manual,promethazine 12.5 mg rectal suppository,suppository,12.5,each,15003,3872,226815,f
12,12.5mg,30154,suppository,phenergan,manual,promethazine 12.5 mg rectal suppository,suppository,12.5,each,15003,3872,226815,f
12,12.5mg,30154,suppository,promethazine,manual,promethazine 12.5 mg rectal suppository,suppository,12.5,each,15003,3872,226815,f
12,12.5mg,30154,suppository,phenadoz,manual,promethazine 12.5 mg rectal suppository,suppository,12.5,each,15003,3872,226815,f
30,25mg,29922,tablet,aromasin,manual,exemestane 25 mg tablet,tablet,25,each,92896,44186,226954,f
3,4-tablets-of-70mg,35823,dose-pack,fosamax,manual,Fosamax 70 mg tablet,tablet,70,each,85361,46941,226964,t
150,20mg-5ml,8756,oral-solution,inderal,manual,propranolol 20 mg/5 mL (4 mg/mL) oral solution,solution,20 mg/5 mL,milliliters,45260,5120,227013,f
150,20mg-5ml,8756,oral-solution,inderal,manual,propranolol 20 mg/5 mL (4 mg/mL) oral solution,solution,20 mg/5 mL,milliliters,45260,5120,227013,f
90,50mg,260,tablet,mellaril,manual,Mellaril 50 mg tablet,tablet,50,each,14881,3865,227058,f
90,50mg,260,tablet,mellaril,manual,Mellaril 50 mg tablet,tablet,50,each,14881,3865,227058,f
1,59ml-of-2.5%25,35911,bottle-of-lotion,cortef,manual,hydrocortisone 2.5 % lotion,lotion,2.5,milliliters,30975,7554,227074,f
1,59ml-of-2.5%25,35911,bottle-of-lotion,hydrocortisone,manual,hydrocortisone 2.5 % lotion,lotion,2.5,milliliters,30975,7554,227074,f
1,59ml-of-2.5%25,35911,bottle-of-lotion,cortef,manual,hydrocortisone 2.5 % lotion,lotion,2.5,milliliters,30975,7554,227074,f
1,59ml-of-2.5%25,35911,bottle-of-lotion,hydrocortisone,manual,hydrocortisone 2.5 % lotion,lotion,2.5,milliliters,30975,7554,227074,f
21,500mg,4594,tablet,famvir,manual,famciclovir 500 mg tablet,tablet,500,each,14108,21995,227082,f
21,500mg,4594,tablet,famciclovir,manual,famciclovir 500 mg tablet,tablet,500,each,14108,21995,227082,f
