default_quantity,dosage,drug_id,form_name,slug
30.0,250mg,29893,tablet,disulfiram
30.0,70mg-1mg,30074,tablet,multigen-folic
1.0,28-tablets-of-0.15mg-0.03mg,33634,package,nordette
1.0,28-tablets-of-0.15mg-0.03mg,42523,package,nordette
3.0,28-tablets-of-0.15mg-0.03mg,40961,package,nordette
1.0,28-tablets-of-0.15mg-0.03mg,37300,package,nordette
1.0,28-tablets-of-0.15mg-0.03mg,22621,package,nordette
1.0,28-tablets-of-0.15mg-0.03mg,38548,package,nordette
1.0,28-tablets-of-0.15mg-0.03mg,7032,package,nordette
30.0,333mg,44153,tablet,erythromycin-dr
60.0,250mg,44152,tablet,erythromycin-dr
30.0,250mg,27992,capsule,erythromycin-dr
20.0,500mg,44154,tablet,erythromycin-dr
1.0,4-liter,35738,bottle-of-powder,nulytely
1.0,4-liter,35742,bottle-of-powder,nulytely
1.0,30-days-of-400mg,41243,package,pr-natal-ec
1,30-days-of-430mg,41242,package,pr-natal-ec
21.0,500mg,4594,tablet,famvir
60.0,125mg,4590,tablet,famvir
60.0,250mg,4592,tablet,famvir
30.0,5mg,827,tablet,stelazine
90.0,2mg,826,tablet,stelazine
30.0,1mg,825,tablet,stelazine
30.0,10mg,828,tablet,stelazine
1.0,90-tablets-of-29mg-1mg,41233,bottle,vol-tab-rx
1.0,8-twice-weekly-patches-of-0.0375mg-day,44134,carton,estradiol
1.0,8-twice-weekly-patches-of-0.05mg-day,44135,carton,estradiol
1.0,8-twice-weekly-patches-of-0.075mg-day,44136,carton,estradiol
1.0,8-twice-weekly-patches-of-0.1mg-day,44137,carton,estradiol
1.0,4-once-weekly-patches-of-0.025mg-day,37242,carton,estradiol
1.0,4-once-weekly-patches-of-0.0375mg-day,37243,carton,estradiol
1.0,4-once-weekly-patches-of-0.05mg-day,37244,carton,estradiol
1.0,4-once-weekly-patches-of-0.06mg-day,37245,carton,estradiol
1.0,4-once-weekly-patches-of-0.075mg-day,37246,carton,estradiol
1.0,4-once-weekly-patches-of-0.1mg-day,37247,carton,estradiol
1.0,8-twice-weekly-patches-of-0.025mg-day,40713,carton,estradiol
8,10mcg,42535,tablet,estradiol
1.0,42.5g-of-0.01%25,43072,tube-of-cream,estradiol
90.0,2mg,865,tablet,estradiol
90.0,1mg,864,tablet,estradiol
90.0,0.5mg,863,tablet,estradiol
8,0.1mg-day,44040,patch,estradiol
8.0,0.075mg-day,44039,patch,estradiol
4,0.06mg-day,44038,patch,estradiol
4,0.05mg-day,44037,patch,estradiol
6,0.0375mg-day,44036,patch,estradiol
4.0,0.025mg-day,44035,patch,estradiol
8.0,10mcg,42903,insert,estradiol
1.0,8-twice-weekly-patches-of-0.1mg-day,40717,carton,estradiol
1.0,8-twice-weekly-patches-of-0.075mg-day,40716,carton,estradiol
1.0,8-twice-weekly-patches-of-0.05mg-day,40715,carton,estradiol
1.0,8-twice-weekly-patches-of-0.0375mg-day,40714,carton,estradiol
1.0,8-twice-weekly-patches-of-0.025mg-day,44133,carton,estradiol
60.0,15mg-ml,32217,oral-solution,axid
30.0,300mg,8583,capsule,axid
60.0,150mg,5167,capsule,axid
60.0,25mg,151,tablet,captopril
60.0,12.5mg,150,tablet,captopril
180.0,100mg,153,tablet,captopril
60.0,50mg,152,tablet,captopril
30.0,15mg,31322,capsule,amrix
30.0,30mg,31323,capsule,amrix
1.0,30g-of-0.1%25,34439,tube-of-cream,amcinonide
1.0,60g-of-0.1%25,35149,tube-of-ointment,amcinonide
1.0,60g-of-0.1%25,34438,tube-of-cream,amcinonide
1.0,60ml-of-0.1%25,40909,bottle-of-lotion,amcinonide
1.0,15g-of-0.1%25,34440,tube-of-cream,amcinonide
30.0,1mg,248,tablet,prolixin
60.0,10mg,7946,tablet,prolixin
30.0,2.5mg,8335,tablet,prolixin
473,2.5mg-5ml,35797,elixir,prolixin
2,60ml-of-2.5mg-5ml,33764,dropper,prolixin
1,120ml-of-5mg-ml,33765,dropper,prolixin
1.0,5ml-of-25mg-ml,7796,vial,prolixin
1,10ml-of-2.5mg-ml,37785,vial,prolixin
30.0,5mg,8334,tablet,prolixin
90.0,35mg,30131,tablet,bontril-pdm
180.0,10mg,24304,tablet,parnate
90.0,7.5mg,716,tablet,univasc
90.0,15mg,717,tablet,univasc
60.0,200mg,21660,capsule,danocrine
60.0,50mg,8364,capsule,danocrine
30.0,100mg,21659,capsule,danocrine
30.0,100mg,36415,capsule,neoral
1.0,50ml-of-100mg-ml,36413,bottle-of-oral-solution,neoral
180.0,25mg,4351,capsule,neoral
60.0,100mg,4348,capsule,neoral
1.0,50ml-of-100mg-ml,36146,bottle-of-oral-solution,neoral
30.0,50mg,36412,capsule,neoral
60.0,25mg,36414,capsule,neoral
90.0,1mg,13309,chewable-tablet,multivitamin-with-fluoride
90.0,0.5mg,30076,chewable-tablet,multivitamin-with-fluoride
90.0,0.25mg,33347,chewable-tablet,multivitamin-with-fluoride
1,50ml-of-0.5mg-ml,35334,dropper,multivitamin-with-fluoride
1.0,50ml-of-0.25mg-ml,35335,dropper,multivitamin-with-fluoride
1.0,378g-of-4g-dose,35713,can-of-powder,cholestyramine
60,9g-of-4g-dose,31197,packet,cholestyramine
1.0,60-packets-of-9g,37081,carton,cholestyramine
60.0,1-packet-of-500mg,43920,carton,vigadrone
3.0,50-packets-of-500mg,43289,carton,vigadrone
60.0,200mg,8442,capsule,phenytek
30.0,300mg,34424,capsule,phenytek
30.0,300mg,36131,capsule,cardizem-cd
30.0,240mg,4152,capsule,cardizem-cd
30.0,180mg,4150,capsule,cardizem-cd
30.0,120mg,449,capsule,cardizem-cd
30.0,360mg,39352,capsule,cardizem-cd
90.0,300mg,39351,capsule,cardizem-cd
90.0,240mg,39350,capsule,cardizem-cd
90.0,180mg,39349,capsule,cardizem-cd
90.0,120mg,39348,capsule,cardizem-cd
14.0,100mg,8726,capsule,macrobid
60.0,500mg,4761,capsule,hydrea
1.0,30g-of-0.1%25,34720,tube-of-ointment,gentafair
1,15ml-of-0.3%25,35511,eye-dropper,gentafair
1.0,5ml-of-0.3%25,35510,eye-dropper,gentafair
1.0,15g-of-0.1%25,34716,tube-of-cream,gentafair
1.0,30g-of-0.1%25,34717,tube-of-cream,gentafair
1.0,15g-of-0.1%25,34719,tube-of-ointment,gentafair
1.0,3.5g-of-0.3%25,34721,tube-of-ointment,gentafair
1.0,45g-of-0.1%25,39020,tube-of-cream,locoid-lipocream
1.0,60g-of-0.1%25,39021,tube-of-cream,locoid-lipocream
60.0,600mg,5206,tablet,oxaprozin
60.0,100mg,27519,tablet,bupropion
60.0,75mg,13233,tablet,bupropion
60.0,300mg,36199,tablet,ziagen
4.0,240ml-of-20mg-ml,42511,bottle-of-oral-solution,ziagen
30.0,25mg,209,tablet,spironolactone
30.0,50mg,731,tablet,spironolactone
30.0,100mg,5447,tablet,spironolactone
1.0,60g-of-5%25,43235,tube-of-gel,aczone
1.0,90g-of-5%25,43236,tube-of-gel,aczone
1.0,30g-of-0.1%25,34720,tube-of-ointment,gentamicin
1.0,3.5g-of-0.3%25,34721,tube-of-ointment,gentamicin
1.0,15g-of-0.1%25,34719,tube-of-ointment,gentamicin
1.0,30g-of-0.1%25,34717,tube-of-cream,gentamicin
1.0,15g-of-0.1%25,34716,tube-of-cream,gentamicin
1.0,5ml-of-0.3%25,35510,eye-dropper,gentamicin
1,15ml-of-0.3%25,35511,eye-dropper,gentamicin
1.0,3.5g-of-0.3%25,35509,tube-of-ointment,gentamicin
1.0,5ml-of-0.3%25,35507,eye-dropper,gentamicin
12.0,40mg-0.4ml,36999,syringe,lovenox
36.0,60mg-0.6ml,36998,syringe,lovenox
8.0,80mg-0.8ml,36997,syringe,lovenox
10.0,100mg-ml,36996,syringe,lovenox
8.0,120mg-0.8ml,36994,syringe,lovenox
10.0,150mg-ml,36995,syringe,lovenox
9.0,30mg-0.3ml,37000,syringe,lovenox
90.0,0.5mg,863,tablet,estrace
90.0,1mg,864,tablet,estrace
90.0,2mg,865,tablet,estrace
1.0,42.5g-of-0.01%25,43072,tube-of-cream,estrace
1.0,28-tablets-of-0.15mg-0.03mg,33633,package,cyred
1.0,28-tablets-of-0.15mg-0.03mg,42714,package,cyred
1.0,28-tablets-of-0.15mg-0.03mg,41956,package,cyred
1.0,28-tablets-of-0.15mg-0.03mg,37832,package,cyred
5.0,1ml-of-0.3mg-ml,31091,vial,buprenex
30.0,300mg,43042,tablet,tenofovir
90.0,50mg,30024,tablet,ludiomil
60.0,75mg,30025,tablet,ludiomil
90.0,25mg,30023,tablet,ludiomil
30.0,4mg,5395,tablet,risperidone
30.0,3mg,5393,tablet,risperidone
30.0,2mg,5391,tablet,risperidone
30.0,1mg,1607,tablet,risperidone
30.0,0.5mg,30174,tablet,risperidone
30.0,0.25mg,30173,tablet,risperidone
30.0,4mg,7340,orally-disintegrating-tab,risperidone
60.0,3mg,7339,orally-disintegrating-tab,risperidone
1.0,30ml-of-1mg-ml,30175,dropper,risperidone
60.0,0.25mg,36176,orally-disintegrating-tab,risperidone
30.0,0.5mg,7344,orally-disintegrating-tab,risperidone
30.0,1mg,7345,orally-disintegrating-tab,risperidone
30.0,2mg,7338,orally-disintegrating-tab,risperidone
60.0,450mg,40642,tablet,valcyte
2.0,100ml-of-50mg-ml,42522,bottle-of-oral-solution,valcyte
30.0,7.5mg,36873,tablet,cyclobenzaprine
30.0,5mg,57,tablet,cyclobenzaprine
30.0,10mg,58,tablet,cyclobenzaprine
30.0,250mg,30030,capsule,ponstel
30.0,50mg,7265,tablet,luvox
30.0,25mg,7264,tablet,luvox
60.0,100mg,8197,tablet,luvox
28.0,150mg,4247,capsule,cleocin
30.0,300mg,4248,capsule,cleocin
28.0,75mg,36463,capsule,cleocin
1.0,40g-of-2%25,34429,tube-of-cream,cleocin
1.0,30g-of-1%25,34518,tube-of-gel,cleocin
1.0,60g-of-1%25,34519,tube-of-gel,cleocin
3.0,100ml-of-75mg-5ml,36645,bottle-of-oral-solution,cleocin
30.0,2000iu,40149,capsule,vitamin-d3
30.0,1000iu,40148,capsule,vitamin-d3
30.0,5000iu,40147,capsule,vitamin-d3
12.0,50000iu,40146,capsule,vitamin-d3
1.0,3ml-of-0.5%25,42855,eye-dropper,vigamox
90.0,10mg,41958,tablet,crestor
90.0,20mg,41959,tablet,crestor
90.0,40mg,41960,tablet,crestor
90.0,5mg,41957,tablet,crestor
2.0,25ml-of-1g,31711,vial,gemzar
30.0,200mg,42602,tablet,quetiapine-er
30.0,150mg,42601,tablet,quetiapine-er
30.0,50mg,42600,tablet,quetiapine-er
30.0,300mg,42603,tablet,quetiapine-er
30.0,400mg,42599,tablet,quetiapine-er
1.0,28-tablets-of-0.1mg-0.02mg,7075,package,aviane
1.0,28-tablets-of-0.1mg-0.02mg,42864,package,aviane
1.0,28-tablets-of-0.1mg-0.02mg,37134,package,aviane
1.0,28-tablets-of-0.1mg-0.02mg,8714,package,aviane
3.0,28-tablets-of-0.1mg-0.02mg,38936,package,aviane
1.0,28-tablets-of-0.1mg-0.02mg,42331,package,aviane
1.0,28-tablets-of-0.1mg-0.02mg,37133,package,aviane
90.0,34mg,33636,tablet,nisoldipine
5.0,40mg,32202,tablet,nisoldipine
30.0,8.5mg,32198,tablet,nisoldipine
30.0,17mg,32199,tablet,nisoldipine
90,20mg,28671,tablet,nisoldipine
30.0,25.5mg,32200,tablet,nisoldipine
30,30mg,32201,tablet,nisoldipine
1.0,28-tablets-of-0.15mg-0.03mg,7032,package,portia
1.0,28-tablets-of-0.15mg-0.03mg,33634,package,portia
1.0,28-tablets-of-0.15mg-0.03mg,43495,package,portia
1.0,28-tablets-of-0.15mg-0.03mg,38548,package,portia
1.0,28-tablets-of-0.15mg-0.03mg,42523,package,portia
1.0,28-tablets-of-0.15mg-0.03mg,22621,package,portia
1.0,28-tablets-of-0.15mg-0.03mg,37300,package,portia
3.0,28-tablets-of-0.15mg-0.03mg,40961,package,portia
2.0,100mg,42076,vial,azacitidine
1.0,45g-of-0.1%25,34435,tube-of-gel,plixda
1.0,45g-of-0.1%25,34434,tube-of-cream,plixda
1.0,45g-of-0.3%25,40411,gel-pump,plixda
1.0,60ml-of-0.1%25,42527,bottle-of-topical-solution,plixda
1.0,59ml-of-0.1%25,42939,bottle-of-lotion,plixda
1.0,45g-of-0.3%25,40410,tube-of-gel,plixda
30.0,12.5mg,42129,tablet,nesina
30.0,6.25mg,42128,tablet,nesina
30.0,25mg,42130,tablet,nesina
45.0,25mg,21584,tablet,cortisone
10.0,5mg,38700,capsule,temozolomide
15.0,100mg,38702,capsule,temozolomide
5.0,140mg,38703,capsule,temozolomide
5.0,180mg,38699,capsule,temozolomide
5.0,20mg,38701,capsule,temozolomide
5.0,250mg,38704,capsule,temozolomide
120.0,250mg,43551,tablet,zytiga
30.0,29mg-1mg,33709,chewable-tablet,se-natal-19
30.0,29mg-1mg,12506,tablet,se-natal-19
90.0,5mg,724,tablet,accupril
90.0,40mg,727,tablet,accupril
90.0,20mg,726,tablet,accupril
90.0,10mg,725,tablet,accupril
9.0,10-orally-disintegrating-tablets-of-1mg,44001,dose-pack,alprazolam
30.0,0.25mg,33825,orally-disintegrating-tab,alprazolam
30.0,0.5mg,33663,orally-disintegrating-tab,alprazolam
30.0,1mg,33826,orally-disintegrating-tab,alprazolam
14.0,2mg,33827,orally-disintegrating-tab,alprazolam
30.0,0.25mg,3897,tablet,alprazolam
60.0,0.5mg,12,tablet,alprazolam
90.0,1mg,3901,tablet,alprazolam
60.0,2mg,3902,tablet,alprazolam
1.0,30ml-of-1mg-ml,27294,bottle-of-oral-solution,alprazolam
3.0,10-orally-disintegrating-tablets-of-0.25mg,43999,dose-pack,alprazolam
3.0,10-orally-disintegrating-tablets-of-0.5mg,44000,dose-pack,alprazolam
3.0,10-orally-disintegrating-tablets-of-2mg,44002,dose-pack,alprazolam
1.0,100-tablets,41508,bottle,tab-a-vite
1.0,28-tablets,8326,package,junel-fe-1-20
3.0,28-tablets,8553,package,junel-fe-1-20
1.0,28-tablets,41937,package,junel-fe-1-20
1.0,28-tablets,42858,package,junel-fe-1-20
1.0,28-tablets,41413,package,junel-fe-1-20
1.0,28-tablets,38705,package,junel-fe-1-20
1.0,1ml-of-1mg-ml,33891,vial,kytril
1.0,4ml-of-1mg-ml,33892,vial,kytril
30.0,1mg,29959,tablet,kytril
1.0,15g-of-0.1%25,34754,tube-of-cream,hydrocortisone-butyrate
1.0,60ml-of-0.1%25,34758,bottle-of-topical-solution,hydrocortisone-butyrate
1.0,20ml-of-0.1%25,36152,bottle-of-topical-solution,hydrocortisone-butyrate
1.0,59ml-of-0.1%25,43011,bottle-of-lotion,hydrocortisone-butyrate
1.0,118ml-of-0.1%25,43012,bottle-of-lotion,hydrocortisone-butyrate
1.0,45g-of-0.1%25,34757,tube-of-ointment,hydrocortisone-butyrate
1.0,15g-of-0.1%25,34756,tube-of-ointment,hydrocortisone-butyrate
1,60g-of-0.1%25,43159,tube-of-cream,hydrocortisone-butyrate
1.0,45g-of-0.1%25,34755,tube-of-cream,hydrocortisone-butyrate
20.0,100mg,45,tablet,vibra-tabs
60.0,20mg,6789,tablet,vibra-tabs
30.0,30mg-1.4mg-200mg,41257,capsule,prena1-pearl
1.0,100ml-of-2%25,35872,bottle-of-topical-solution,xylocaine
1.0,50ml-of-4%25,35870,bottle-of-topical-solution,xylocaine
1.0,50g-of-5%25,35868,jar-of-ointment,xylocaine
1.0,28.35g-of-3%25,35866,tube-of-cream,xylocaine
1.0,85g-of-3%25,35865,tube-of-cream,xylocaine
1.0,30ml-of-2%25,34820,tube-of-jelly,xylocaine
6.0,5ml-of-2%25,34821,tube-of-jelly,xylocaine
1.0,30g-of-5%25,35869,tube-of-ointment,xylocaine
1.0,35.44g-of-5%25,35867,tube-of-ointment,xylocaine
1,118ml-of-3%25,42054,bottle-of-lotion,xylocaine
1.0,177ml-of-3%25,35864,bottle-of-lotion,xylocaine
60.0,324mg,8164,tablet,quinidine-gluconate-er
60.0,5mg,87,tablet,glucotrol
60.0,10mg,88,tablet,glucotrol
237.0,300mg-5ml,8363,oral-solution,tagamet
60.0,200mg,25187,tablet,tagamet
60.0,300mg,416,tablet,tagamet
60.0,400mg,417,tablet,tagamet
30.0,800mg,110,tablet,tagamet
7.0,1000mg,32974,tablet,ciprofloxacin-er
14.0,500mg,36134,tablet,ciprofloxacin-er
30.0,10mg,29820,suppository,dulcolax
4.0,5mg,38638,tablet,dulcolax
60.0,100mg,7397,capsule,dulcolax
60.0,100mg,41354,capsule,dulcolax
30.0,24mg,29951,capsule,razadyne-er
30.0,16mg,31706,capsule,razadyne-er
30.0,8mg,29952,capsule,razadyne-er
1.0,30ml-of-20mg-ml,36706,bottle-of-oral-solution,roxicodone
30.0,5mg,33772,capsule,roxicodone
300.0,5mg-5ml,7200,oral-solution,roxicodone
120.0,10mg,7203,tablet,roxicodone
120.0,15mg,7202,tablet,roxicodone
120.0,20mg,7199,tablet,roxicodone
120.0,30mg,7198,tablet,roxicodone
30.0,5mg,6673,tablet,roxicodone
1,15ml-of-20mg-ml,36705,bottle-of-oral-solution,roxicodone
5.0,50mg,40366,vial,decitabine
30.0,324mg,37333,capsule,qualaquin
30.0,100mg,36415,capsule,cyclosporine-modified
60.0,25mg,36414,capsule,cyclosporine-modified
30.0,50mg,36412,capsule,cyclosporine-modified
1.0,50ml-of-100mg-ml,36146,bottle-of-oral-solution,cyclosporine-modified
60.0,100mg,4348,capsule,cyclosporine-modified
180.0,25mg,4351,capsule,cyclosporine-modified
1.0,50ml-of-100mg-ml,36413,bottle-of-oral-solution,cyclosporine-modified
30.0,43mg,37779,capsule,antara
30.0,130mg,37780,capsule,antara
90.0,100mg,12767,tablet,apresoline
90.0,10mg,179,tablet,apresoline
90.0,25mg,180,tablet,apresoline
90.0,50mg,12768,tablet,apresoline
30.0,20mg,661,capsule,feldene
30.0,10mg,660,capsule,feldene
20.0,10mg,655,tablet,toradol
5.0,2ml-of-60mg-2ml,8770,vial,toradol
10.0,1ml-of-30mg-ml,39834,vial,toradol
20.0,1ml-of-15mg-ml,39833,vial,toradol
1.0,60g-of-1%25,44021,tube-of-gel,naftin
1.0,90g-of-1%25,44022,tube-of-gel,naftin
1.0,60g-of-1%25,41352,tube-of-cream,naftin
1.0,90g-of-1%25,41353,tube-of-cream,naftin
1.0,40g-of-1%25,44020,tube-of-gel,naftin
1.0,15g-of-0.1%25,34943,tube-of-ointment,dermatop
1.0,60g-of-0.1%25,34942,tube-of-cream,dermatop
1.0,60g-of-0.1%25,34944,tube-of-ointment,dermatop
1.0,255g-of-50%25,41056,tube-of-cream,remeven
1.0,142g-of-50%25,41055,tube-of-cream,remeven
56.0,500mg,54,capsule,sumycin
60.0,250mg,53,capsule,sumycin
1.0,28-tablets,37684,package,necon-1-35
3.0,28-tablets,7188,package,necon-1-35
1.0,28-tablets,1418,package,necon-1-35
1.0,28-tablets,38242,package,necon-1-35
1.0,28-tablets,36445,package,necon-1-35
1.0,28-tablets,34336,package,necon-1-35
1.0,15g,34893,tube-of-cream,mycolog-ii
1.0,60g,34899,tube-of-ointment,mycolog-ii
1.0,30g,34898,tube-of-ointment,mycolog-ii
1.0,15g,34897,tube-of-ointment,mycolog-ii
1.0,60g,34895,tube-of-cream,mycolog-ii
1.0,30g,34894,tube-of-cream,mycolog-ii
30.0,15mg,38967,capsule,focalin-xr
30.0,10mg,40986,capsule,focalin-xr
30.0,20mg,41308,capsule,focalin-xr
30.0,25mg,42627,capsule,focalin-xr
30.0,30mg,38966,capsule,focalin-xr
30.0,35mg,42628,capsule,focalin-xr
30.0,40mg,40648,capsule,focalin-xr
30.0,5mg,40652,capsule,focalin-xr
30.0,420mg,39358,capsule,taztia-xt
90.0,360mg,39357,capsule,taztia-xt
90.0,300mg,39356,capsule,taztia-xt
90.0,240mg,39355,capsule,taztia-xt
30.0,180mg,39354,capsule,taztia-xt
90.0,120mg,39353,capsule,taztia-xt
30.0,360mg,5499,capsule,taztia-xt
30.0,300mg,5498,capsule,taztia-xt
30.0,240mg,5497,capsule,taztia-xt
30.0,180mg,5496,capsule,taztia-xt
30.0,120mg,5495,capsule,taztia-xt
1.0,15ml-of-54mg-14mg-ml,35357,ear-dropper,antipyrine-benzocaine
24.0,100mg,37930,chewable-tablet,motrin-junior-strength
30.0,1mg,825,tablet,trifluoperazine
30.0,10mg,828,tablet,trifluoperazine
30.0,5mg,827,tablet,trifluoperazine
90.0,2mg,826,tablet,trifluoperazine
30.0,1000mg,43616,suppository,canasa
60.0,10mg,29851,capsule,chlordiazepoxide
60.0,5mg,4198,capsule,chlordiazepoxide
30.0,25mg,4197,capsule,chlordiazepoxide
1.0,14-day,38851,package,prevpac
1,6-days-of-1.5mg,44387,dose-pack,hidex
1.0,6-days-of-1.5mg,43767,dose-pack,hidex
90.0,10mg,6634,tablet,simvastatin
90.0,20mg,1611,tablet,simvastatin
90.0,40mg,5431,tablet,simvastatin
90.0,5mg,5432,tablet,simvastatin
90.0,80mg,5434,tablet,simvastatin
30.0,30mg,36794,tablet,sudafed
20.0,120mg,36797,tablet,sudafed
90.0,4mg,737,tablet,mavik
90.0,2mg,736,tablet,mavik
90.0,1mg,735,tablet,mavik
90.0,25mg,1238,tablet,esidrix
30.0,12.5mg,29962,tablet,esidrix
90.0,12.5mg,181,capsule,esidrix
90.0,50mg,183,tablet,esidrix
30.0,5mg,8427,tablet,aygestin
60.0,500mg,20765,capsule,diamox-sequels
120.0,120mg-12mg-5ml,30755,oral-solution,tylenol-with-codeine
120.0,300mg-60mg,29759,tablet,tylenol-with-codeine
20.0,300mg-30mg,29758,tablet,tylenol-with-codeine
30.0,300mg-15mg,29757,tablet,tylenol-with-codeine
20.0,300mg,4170,capsule,cefdinir
1.0,100ml-of-125mg-5ml,36606,bottle-of-oral-suspension,cefdinir
1.0,100ml-of-250mg-5ml,36608,bottle-of-oral-suspension,cefdinir
1.0,60ml-of-125mg-5ml,36605,bottle-of-oral-suspension,cefdinir
1.0,60ml-of-250mg-5ml,36607,bottle-of-oral-suspension,cefdinir
60.0,150mg,40908,tablet,zantac-otc
60.0,75mg,40907,tablet,zantac-otc
1.0,2.5ml-of-0.2%25,42806,eye-dropper,olopatadine
1.0,5ml-of-0.1%25,41839,eye-dropper,olopatadine
1.0,30.5g-of-665mcg,40572,nasal-spray,olopatadine
30.0,0.2mg,5163,patch,nitro-dur
30.0,0.6mg,8718,patch,nitro-dur
30.0,0.1mg,32083,patch,nitro-dur
90.0,0.4mg,7023,patch,nitro-dur
30.0,0.6mg,32084,patch,nitro-dur
30.0,0.1mg,33720,patch,nitro-dur
30.0,0.4mg,5164,patch,nitro-dur
1.0,120ml-of-0.05%25,43195,bottle-of-lotion,cordran
1.0,60g-of-0.05%25,42074,tube-of-cream,cordran
1.0,120g-of-0.05%25,42075,tube-of-cream,cordran
90.0,2.5mg,8507,tablet,glucotrol-xl
30.0,5mg,8508,tablet,glucotrol-xl
30.0,10mg,8506,tablet,glucotrol-xl
60.0,300mg,33767,tablet,lithium
300.0,8meq-5ml,31952,oral-solution,lithium
60.0,600mg,814,capsule,lithium
60.0,300mg,253,capsule,lithium
30.0,150mg,813,capsule,lithium
1.0,60g-of-0.05%25,42913,tube-of-cream,tridesilon
2,50ml-of-20mg-ml,34432,vial,etoposide
2,25ml-of-20mg-ml,34431,vial,etoposide
16.0,50mg,34433,capsule,etoposide
6.0,5ml-of-20mg-ml,34430,vial,etoposide
60.0,500mg,4438,tablet,dolobid
28.0,28-tablets-of-0.1mg-0.02mg,43702,package,afirmelle
1.0,2-auto-injectors-of-0.15mg,35757,package,epinephrine-epipen-jr
90.0,10mg-300mg,37793,tablet,maxidone
120.0,10mg-325mg,4742,tablet,maxidone
30.0,5mg-300mg,37791,tablet,maxidone
12.0,5mg-325mg,6743,tablet,maxidone
90.0,7.5mg-300mg,37792,tablet,maxidone
90.0,7.5mg-325mg,29968,tablet,maxidone
300.0,7.5mg-325mg-15ml,36857,oral-solution,maxidone
1.0,2-auto-injectors-of-0.15mg,42632,package,epinephrine-adrenaclick
1.0,2-auto-injectors-of-0.3mg,42631,package,epinephrine-adrenaclick
30.0,25mg,41142,tablet,vitamin-b6
30.0,50mg,41143,tablet,vitamin-b6
30.0,100mg,41144,tablet,vitamin-b6
50.0,15mg-5ml,36787,oral-solution,prednisolone
20.0,15mg-5ml,33394,syrup,prednisolone
3.0,28-tablets-of-1mg-20mcg,42017,package,hailey-24-fe
3.0,28-tablets-of-1mg-20mcg,43890,package,hailey-24-fe
1.0,3-pouches-of-28-tablets-of-1mg-20mcg,43851,package,hailey-24-fe
1.0,28-tablets-of-1mg-20mcg,41935,package,hailey-24-fe
1.0,3-pouches-of-28-tablets-of-1mg-20mcg,44283,package,hailey-24-fe
1.0,28-tablets-of-1mg-20mcg,41024,package,hailey-24-fe
1.0,28-tablets-of-1mg-20mcg,41023,package,hailey-24-fe
120.0,10mg,6840,tablet,oxymorphone
90.0,5mg,33496,tablet,oxymorphone
30.0,20mg,33733,tablet,prilosec-otc
118.0,10mg-100mg-30mg-5ml,31194,oral-solution,robitussin-dac
120.0,10mg-100mg-30mg-5ml,41206,oral-solution,robitussin-dac
30.0,10mg,6920,tablet,leflunomide
30.0,20mg,6918,tablet,leflunomide
30.0,5mg,43846,tablet,ambrisentan
30.0,10mg,43847,tablet,ambrisentan
30.0,40mg,238,tablet,celexa
30.0,20mg,237,tablet,celexa
30.0,10mg,801,tablet,celexa
150.0,10mg-5ml,8224,oral-solution,celexa
60,5g-of-4g-dose,8499,packet,cholestyramine-light
1.0,239.4g-of-4g-dose,35714,can-of-powder,cholestyramine-light
1.0,210g-of-4g-dose,35715,can-of-powder,cholestyramine-light
1.0,60-packets-of-5g,37082,carton,cholestyramine-light
60.0,2.5mg,22875,tablet,pamine
30.0,50mg,7265,tablet,fluvoxamine
60.0,100mg,8197,tablet,fluvoxamine
30.0,25mg,7264,tablet,fluvoxamine
60.0,8mg,29766,tablet,volmax
60.0,4mg,29765,tablet,volmax
90.0,37.5mg-25mg,32827,capsule,dyazide
30.0,50mg-25mg,7171,capsule,dyazide
90.0,200mg,37162,tablet,entacapone
1.0,30g-of-100000-units-g,34892,tube-of-ointment,mycostatin
1.0,15g-of-100000-units-g,35707,bottle-of-topical-powder,mycostatin
1.0,30g-of-100000-units-g,35706,bottle-of-topical-powder,mycostatin
1.0,60g-of-100000-units-g,35705,bottle-of-topical-powder,mycostatin
1.0,60ml-of-100000-units-ml,36846,dropper,mycostatin
200.0,100000-units-ml,7974,oral-suspension,mycostatin
120.0,500000-units,7972,tablet,mycostatin
1.0,15g-of-100000-units-g,34890,tube-of-cream,mycostatin
1.0,30g-of-100000-units-g,34888,tube-of-cream,mycostatin
1.0,15g-of-100000-units-g,34891,tube-of-ointment,mycostatin
90.0,5mg,37601,orally-disintegrating-tab,desloratadine
7.0,2.5mg,37600,orally-disintegrating-tab,desloratadine
30.0,5mg,36411,tablet,desloratadine
90.0,100mg,30171,tablet,flumadine
30.0,50mg,262,tablet,trialodine
60.0,20mg,43723,tablet,adcirca
30.0,20mg,43504,tablet,adcirca
90.0,600mg,28046,tablet,fenortho
90.0,400mg,42059,capsule,fenortho
30.0,50mg-1.25ml,8787,dropper,infants-advil
3.0,28-tablets,28634,package,necon-1-50
30.0,100mg,27791,capsule,cyclosporine
30.0,25mg,8652,capsule,cyclosporine
1,5ml-of-50mg-ml,33732,ampule,cyclosporine
1.0,15g-of-0.05%25,34528,tube-of-cream,temovate
1.0,50ml-of-0.05%25,34539,bottle-of-topical-solution,temovate
1.0,30g-of-0.05%25,34533,tube-of-ointment,temovate
1.0,15g-of-0.05%25,34532,tube-of-ointment,temovate
1.0,60g-of-0.05%25,34524,tube-of-gel,temovate
